;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;10019086;10019086;10019086;10019086;102890481;102890481;102890481;102890481
0-1-0-0-0;10024089;10024089;10024089;10024089;103226216;103226216;103226216;103226216
0-0-1-0-0;9959198;9959198;9959198;9959198;105329641;105329641;105329641;105329641
0-0-0-1-0;10065546;10065546;10065546;10065546;103680045;103680045;103680045;103680045
0-0-0-0-1;10028825;10028825;10028825;10028825;103692635;103692635;103692635;103692635
1-2-0-0-0;10402041;10402041;10402041;10402041;105657522;105657522;105657522;105657522
1-0-2-0-0;10426181;10426181;10426181;10426181;107492199;107492199;107492199;107492199
1-0-0-2-0;10506230;10506230;10506230;10506230;106745753;106745753;106745753;106745753
1-0-0-0-2;10407812;10407812;10407812;10407812;106603849;106603849;106603849;106603849
0-1-2-0-0;10386867;10386867;10386867;10386867;107486298;107486298;107486298;107486298
0-1-0-2-0;10518238;10518238;10518238;10518238;106899247;106899247;106899247;106899247
0-1-0-0-2;10415889;10415889;10415889;10415889;106570472;106570472;106570472;106570472
0-0-1-2-0;10449528;10449528;10449528;10449528;107587044;107587044;107587044;107587044
0-0-1-0-2;10380462;10380462;10380462;10380462;107680657;107680657;107680657;107680657
0-0-0-1-2;10482771;10482771;10482771;10482771;107024250;107024250;107024250;107024250
1-2-3-0-0;10458981;10119231;10119231;10119231;106739088;104324647;104324647;104324647
1-2-0-3-0;10535474;10144585;10144585;10144585;106766812;104345878;104345878;104345878
1-2-0-0-3;10490024;10177133;10177133;10177133;106826932;104435622;104435622;104435622
1-0-2-3-0;10552378;10162397;10162397;10162397;108009522;105653450;105653450;105653450
1-0-2-0-3;10482924;10169130;10169130;10169130;107781192;105545248;105545248;105545248
1-0-0-2-3;10571556;10212762;10212762;10212762;107571732;105058004;105058004;105058004
0-1-2-3-0;10505048;10118526;10118526;10118526;107958812;105613247;105613247;105613247
0-1-2-0-3;10429724;10127903;10127903;10127903;107742569;105473203;105473203;105473203
0-1-0-2-3;10594716;10237731;10237731;10237731;107491779;105051627;105051627;105051627
0-0-1-2-3;10558349;10186834;10186834;10186834;108243076;105942372;105942372;105942372
1-2-3-4-0;10675937;10360984;10360984;10360984;108606764;106755478;106755478;106755478
1-2-3-0-4;10623111;10316065;10316065;10316065;108458465;106649832;106649832;106649832
1-2-0-3-4;10681090;10356704;10356704;10356704;108215617;106194366;106194366;106194366
1-0-2-3-4;10693038;10413843;10413843;10413843;109025898;107084838;107084838;107084838
0-1-2-3-4;10708686;10433830;10433830;10433830;109014041;107171897;107171897;107171897
1-2-3-4-5;10455101;10201460;10337601;10201460;107129059;105460009;106291412;105460009
