;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;65;65;65;65
0-1-0-0-0;0;0;0;0;94;94;94;94
0-0-1-0-0;0;0;0;0;71;71;71;71
0-0-0-1-0;0;0;0;0;7;7;7;7
0-0-0-0-1;0;0;0;0;27;27;27;27
1-2-0-0-0;0;0;0;0;85;85;85;85
1-0-2-0-0;0;0;0;0;107;107;107;107
1-0-0-2-0;0;0;0;0;49;49;49;49
1-0-0-0-2;0;0;0;0;69;69;69;69
0-1-2-0-0;0;0;0;0;107;107;107;107
0-1-0-2-0;0;0;0;0;61;61;61;61
0-1-0-0-2;0;0;0;0;78;78;78;78
0-0-1-2-0;0;0;0;0;70;70;70;70
0-0-1-0-2;0;0;0;0;71;71;71;71
0-0-0-1-2;0;0;0;0;27;27;27;27
1-2-3-0-0;0;0;0;0;68;84;84;84
1-2-0-3-0;0;0;0;0;43;59;59;59
1-2-0-0-3;0;0;0;0;34;50;50;50
1-0-2-3-0;0;0;0;0;96;114;114;114
1-0-2-0-3;0;0;0;0;87;105;105;105
1-0-0-2-3;0;0;0;0;7;25;25;25
0-1-2-3-0;0;0;0;0;97;117;117;117
0-1-2-0-3;0;0;0;0;97;97;97;97
0-1-0-2-3;0;0;0;0;42;42;42;42
0-0-1-2-3;0;0;0;0;60;57;57;57
1-2-3-4-0;0;0;0;0;104;142;142;142
1-2-3-0-4;0;0;0;0;104;122;122;122
1-2-0-3-4;0;0;0;0;43;61;61;61
1-0-2-3-4;0;0;0;0;104;119;119;119
0-1-2-3-4;0;0;0;0;97;94;94;94
1-2-3-4-5;0;0;0;0;97;94;94;94
